outcome,bucket,n,predicted,actual,gap
H,0%-10%,184,0.068,0.13,0.062
H,10%-20%,771,0.155,0.184,0.029
H,20%-30%,1167,0.253,0.278,0.026
H,30%-40%,1562,0.352,0.368,0.017
H,40%-50%,1655,0.448,0.442,-0.007
H,50%-60%,1219,0.547,0.541,-0.007
H,60%-70%,882,0.648,0.678,0.03
H,70%-80%,562,0.746,0.724,-0.022
H,80%-90%,285,0.842,0.835,-0.007
H,90%-100%,73,0.929,0.904,-0.025
D,0%-10%,167,0.071,0.09,0.019
D,10%-20%,1377,0.163,0.174,0.011
D,20%-30%,5496,0.253,0.263,0.01
D,30%-40%,1296,0.325,0.282,-0.042
A,0%-10%,822,0.063,0.08,0.018
A,10%-20%,1611,0.152,0.139,-0.013
A,20%-30%,1966,0.25,0.249,-0.001
A,30%-40%,1610,0.347,0.33,-0.017
A,40%-50%,1033,0.445,0.44,-0.004
A,50%-60%,686,0.546,0.513,-0.033
A,60%-70%,406,0.644,0.586,-0.057
A,70%-80%,165,0.744,0.685,-0.059
A,80%-90%,57,0.839,0.807,-0.032
